warehouse_id,product_id,product_name,stock,unit_price
1,P001,iPhone 15,150,79999
1,P002,Samsung TV 55inch,80,54999
1,P003,Sony WH1000XM5,200,24999
1,P004,MacBook Air M2,60,114999
1,P005,Dyson V15 Vacuum,45,54999
1,P006,iPad Pro 12.9,90,109999
1,P007,Nikon Z50 Camera,35,74999
1,P008,Apple Watch S9,120,41999
1,P009,Dell XPS 15,50,149999
1,P010,Bose SoundLink,180,29999
1,P011,PlayStation 5,40,54999
1,P012,Xbox Series X,35,52999
1,P013,GoPro Hero 12,95,44999
1,P014,Samsung Galaxy S24,140,79999
1,P015,OnePlus Watch 2,160,19999
2,P001,iPhone 15,200,79999
2,P002,Samsung TV 55inch,120,54999
2,P003,Sony WH1000XM5,300,24999
2,P004,MacBook Air M2,80,114999
2,P005,Dyson V15 Vacuum,60,54999
2,P006,iPad Pro 12.9,130,109999
2,P007,Nikon Z50 Camera,50,74999
2,P008,Apple Watch S9,170,41999
2,P009,Dell XPS 15,70,149999
2,P010,Bose SoundLink,250,29999
2,P011,PlayStation 5,55,54999
2,P012,Xbox Series X,48,52999
2,P013,GoPro Hero 12,120,44999
2,P014,Samsung Galaxy S24,190,79999
2,P015,OnePlus Watch 2,220,19999
3,P001,iPhone 15,120,79999
3,P002,Samsung TV 55inch,70,54999
3,P003,Sony WH1000XM5,180,24999
3,P004,MacBook Air M2,45,114999
3,P005,Dyson V15 Vacuum,30,54999
3,P006,iPad Pro 12.9,75,109999
3,P007,Nikon Z50 Camera,28,74999
3,P008,Apple Watch S9,100,41999
3,P009,Dell XPS 15,40,149999
3,P010,Bose SoundLink,160,29999
3,P011,PlayStation 5,32,54999
3,P012,Xbox Series X,28,52999
3,P013,GoPro Hero 12,80,44999
3,P014,Samsung Galaxy S24,110,79999
3,P015,OnePlus Watch 2,140,19999
4,P001,iPhone 15,90,79999
4,P002,Samsung TV 55inch,55,54999
4,P003,Sony WH1000XM5,140,24999
4,P004,MacBook Air M2,35,114999
4,P005,Dyson V15 Vacuum,22,54999
4,P006,iPad Pro 12.9,60,109999
4,P007,Nikon Z50 Camera,20,74999
4,P008,Apple Watch S9,80,41999
4,P009,Dell XPS 15,30,149999
4,P010,Bose SoundLink,120,29999
4,P011,PlayStation 5,25,54999
4,P012,Xbox Series X,22,52999
4,P013,GoPro Hero 12,65,44999
4,P014,Samsung Galaxy S24,85,79999
4,P015,OnePlus Watch 2,110,19999
5,P001,iPhone 15,180,79999
5,P002,Samsung TV 55inch,110,54999
5,P003,Sony WH1000XM5,270,24999
5,P004,MacBook Air M2,75,114999
5,P005,Dyson V15 Vacuum,55,54999
5,P006,iPad Pro 12.9,120,109999
5,P007,Nikon Z50 Camera,45,74999
5,P008,Apple Watch S9,155,41999
5,P009,Dell XPS 15,65,149999
5,P010,Bose SoundLink,230,29999
5,P011,PlayStation 5,50,54999
5,P012,Xbox Series X,44,52999
5,P013,GoPro Hero 12,110,44999
5,P014,Samsung Galaxy S24,175,79999
5,P015,OnePlus Watch 2,200,19999
6,P001,iPhone 15,110,79999
6,P002,Samsung TV 55inch,65,54999
6,P003,Sony WH1000XM5,160,24999
6,P004,MacBook Air M2,42,114999
6,P005,Dyson V15 Vacuum,28,54999
6,P006,iPad Pro 12.9,70,109999
6,P007,Nikon Z50 Camera,25,74999
6,P008,Apple Watch S9,95,41999
6,P009,Dell XPS 15,38,149999
6,P010,Bose SoundLink,150,29999
6,P011,PlayStation 5,30,54999
6,P012,Xbox Series X,26,52999
6,P013,GoPro Hero 12,75,44999
6,P014,Samsung Galaxy S24,105,79999
6,P015,OnePlus Watch 2,130,19999
7,P001,iPhone 15,70,79999
7,P002,Samsung TV 55inch,42,54999
7,P003,Sony WH1000XM5,110,24999
7,P004,MacBook Air M2,28,114999
7,P005,Dyson V15 Vacuum,18,54999
7,P006,iPad Pro 12.9,48,109999
7,P007,Nikon Z50 Camera,16,74999
7,P008,Apple Watch S9,62,41999
7,P009,Dell XPS 15,24,149999
7,P010,Bose SoundLink,95,29999
7,P011,PlayStation 5,20,54999
7,P012,Xbox Series X,17,52999
7,P013,GoPro Hero 12,50,44999
7,P014,Samsung Galaxy S24,68,79999
7,P015,OnePlus Watch 2,85,19999
8,P001,iPhone 15,95,79999
8,P002,Samsung TV 55inch,58,54999
8,P003,Sony WH1000XM5,150,24999
8,P004,MacBook Air M2,40,114999
8,P005,Dyson V15 Vacuum,25,54999
8,P006,iPad Pro 12.9,65,109999
8,P007,Nikon Z50 Camera,22,74999
8,P008,Apple Watch S9,85,41999
8,P009,Dell XPS 15,34,149999
8,P010,Bose SoundLink,130,29999
8,P011,PlayStation 5,28,54999
8,P012,Xbox Series X,24,52999
8,P013,GoPro Hero 12,70,44999
8,P014,Samsung Galaxy S24,92,79999
8,P015,OnePlus Watch 2,115,19999
9,P001,iPhone 15,60,79999
9,P002,Samsung TV 55inch,36,54999
9,P003,Sony WH1000XM5,95,24999
9,P004,MacBook Air M2,22,114999
9,P005,Dyson V15 Vacuum,14,54999
9,P006,iPad Pro 12.9,40,109999
9,P007,Nikon Z50 Camera,13,74999
9,P008,Apple Watch S9,52,41999
9,P009,Dell XPS 15,20,149999
9,P010,Bose SoundLink,80,29999
9,P011,PlayStation 5,17,54999
9,P012,Xbox Series X,14,52999
9,P013,GoPro Hero 12,42,44999
9,P014,Samsung Galaxy S24,58,79999
9,P015,OnePlus Watch 2,72,19999
10,P001,iPhone 15,75,79999
10,P002,Samsung TV 55inch,45,54999
10,P003,Sony WH1000XM5,120,24999
10,P004,MacBook Air M2,30,114999
10,P005,Dyson V15 Vacuum,19,54999
10,P006,iPad Pro 12.9,52,109999
10,P007,Nikon Z50 Camera,17,74999
10,P008,Apple Watch S9,65,41999
10,P009,Dell XPS 15,26,149999
10,P010,Bose SoundLink,100,29999
10,P011,PlayStation 5,22,54999
10,P012,Xbox Series X,18,52999
10,P013,GoPro Hero 12,54,44999
10,P014,Samsung Galaxy S24,72,79999
10,P015,OnePlus Watch 2,90,19999
11,P001,iPhone 15,55,79999
11,P002,Samsung TV 55inch,33,54999
11,P003,Sony WH1000XM5,88,24999
11,P004,MacBook Air M2,20,114999
11,P005,Dyson V15 Vacuum,13,54999
11,P006,iPad Pro 12.9,37,109999
11,P007,Nikon Z50 Camera,12,74999
11,P008,Apple Watch S9,48,41999
11,P009,Dell XPS 15,18,149999
11,P010,Bose SoundLink,74,29999
11,P011,PlayStation 5,16,54999
11,P012,Xbox Series X,13,52999
11,P013,GoPro Hero 12,39,44999
11,P014,Samsung Galaxy S24,53,79999
11,P015,OnePlus Watch 2,66,19999
12,P001,iPhone 15,50,79999
12,P002,Samsung TV 55inch,30,54999
12,P003,Sony WH1000XM5,80,24999
12,P004,MacBook Air M2,18,114999
12,P005,Dyson V15 Vacuum,12,54999
12,P006,iPad Pro 12.9,34,109999
12,P007,Nikon Z50 Camera,11,74999
12,P008,Apple Watch S9,44,41999
12,P009,Dell XPS 15,16,149999
12,P010,Bose SoundLink,68,29999
12,P011,PlayStation 5,14,54999
12,P012,Xbox Series X,12,52999
12,P013,GoPro Hero 12,36,44999
12,P014,Samsung Galaxy S24,48,79999
12,P015,OnePlus Watch 2,60,19999
13,P001,iPhone 15,48,79999
13,P002,Samsung TV 55inch,28,54999
13,P003,Sony WH1000XM5,76,24999
13,P004,MacBook Air M2,16,114999
13,P005,Dyson V15 Vacuum,11,54999
13,P006,iPad Pro 12.9,32,109999
13,P007,Nikon Z50 Camera,10,74999
13,P008,Apple Watch S9,42,41999
13,P009,Dell XPS 15,15,149999
13,P010,Bose SoundLink,64,29999
13,P011,PlayStation 5,13,54999
13,P012,Xbox Series X,11,52999
13,P013,GoPro Hero 12,34,44999
13,P014,Samsung Galaxy S24,46,79999
13,P015,OnePlus Watch 2,57,19999
14,P001,iPhone 15,62,79999
14,P002,Samsung TV 55inch,38,54999
14,P003,Sony WH1000XM5,98,24999
14,P004,MacBook Air M2,24,114999
14,P005,Dyson V15 Vacuum,15,54999
14,P006,iPad Pro 12.9,42,109999
14,P007,Nikon Z50 Camera,14,74999
14,P008,Apple Watch S9,54,41999
14,P009,Dell XPS 15,20,149999
14,P010,Bose SoundLink,82,29999
14,P011,PlayStation 5,18,54999
14,P012,Xbox Series X,15,52999
14,P013,GoPro Hero 12,44,44999
14,P014,Samsung Galaxy S24,60,79999
14,P015,OnePlus Watch 2,75,19999
15,P001,iPhone 15,58,79999
15,P002,Samsung TV 55inch,34,54999
15,P003,Sony WH1000XM5,90,24999
15,P004,MacBook Air M2,22,114999
15,P005,Dyson V15 Vacuum,14,54999
15,P006,iPad Pro 12.9,38,109999
15,P007,Nikon Z50 Camera,13,74999
15,P008,Apple Watch S9,50,41999
15,P009,Dell XPS 15,18,149999
15,P010,Bose SoundLink,77,29999
15,P011,PlayStation 5,16,54999
15,P012,Xbox Series X,14,52999
15,P013,GoPro Hero 12,40,44999
15,P014,Samsung Galaxy S24,56,79999
15,P015,OnePlus Watch 2,70,19999
16,P001,iPhone 15,40,79999
16,P002,Samsung TV 55inch,24,54999
16,P003,Sony WH1000XM5,64,24999
16,P004,MacBook Air M2,14,114999
16,P005,Dyson V15 Vacuum,9,54999
16,P006,iPad Pro 12.9,28,109999
16,P007,Nikon Z50 Camera,9,74999
16,P008,Apple Watch S9,36,41999
16,P009,Dell XPS 15,13,149999
16,P010,Bose SoundLink,55,29999
16,P011,PlayStation 5,12,54999
16,P012,Xbox Series X,10,52999
16,P013,GoPro Hero 12,30,44999
16,P014,Samsung Galaxy S24,38,79999
16,P015,OnePlus Watch 2,48,19999
17,P001,iPhone 15,45,79999
17,P002,Samsung TV 55inch,27,54999
17,P003,Sony WH1000XM5,72,24999
17,P004,MacBook Air M2,16,114999
17,P005,Dyson V15 Vacuum,10,54999
17,P006,iPad Pro 12.9,30,109999
17,P007,Nikon Z50 Camera,10,74999
17,P008,Apple Watch S9,40,41999
17,P009,Dell XPS 15,14,149999
17,P010,Bose SoundLink,60,29999
17,P011,PlayStation 5,13,54999
17,P012,Xbox Series X,11,52999
17,P013,GoPro Hero 12,33,44999
17,P014,Samsung Galaxy S24,43,79999
17,P015,OnePlus Watch 2,54,19999
18,P001,iPhone 15,52,79999
18,P002,Samsung TV 55inch,31,54999
18,P003,Sony WH1000XM5,82,24999
18,P004,MacBook Air M2,19,114999
18,P005,Dyson V15 Vacuum,12,54999
18,P006,iPad Pro 12.9,35,109999
18,P007,Nikon Z50 Camera,12,74999
18,P008,Apple Watch S9,46,41999
18,P009,Dell XPS 15,16,149999
18,P010,Bose SoundLink,70,29999
18,P011,PlayStation 5,15,54999
18,P012,Xbox Series X,13,52999
18,P013,GoPro Hero 12,37,44999
18,P014,Samsung Galaxy S24,50,79999
18,P015,OnePlus Watch 2,63,19999
19,P001,iPhone 15,44,79999
19,P002,Samsung TV 55inch,26,54999
19,P003,Sony WH1000XM5,70,24999
19,P004,MacBook Air M2,15,114999
19,P005,Dyson V15 Vacuum,9,54999
19,P006,iPad Pro 12.9,29,109999
19,P007,Nikon Z50 Camera,9,74999
19,P008,Apple Watch S9,38,41999
19,P009,Dell XPS 15,13,149999
19,P010,Bose SoundLink,57,29999
19,P011,PlayStation 5,12,54999
19,P012,Xbox Series X,10,52999
19,P013,GoPro Hero 12,32,44999
19,P014,Samsung Galaxy S24,42,79999
19,P015,OnePlus Watch 2,53,19999
20,P001,iPhone 15,65,79999
20,P002,Samsung TV 55inch,39,54999
20,P003,Sony WH1000XM5,102,24999
20,P004,MacBook Air M2,25,114999
20,P005,Dyson V15 Vacuum,16,54999
20,P006,iPad Pro 12.9,44,109999
20,P007,Nikon Z50 Camera,15,74999
20,P008,Apple Watch S9,56,41999
20,P009,Dell XPS 15,21,149999
20,P010,Bose SoundLink,86,29999
20,P011,PlayStation 5,19,54999
20,P012,Xbox Series X,16,52999
20,P013,GoPro Hero 12,46,44999
20,P014,Samsung Galaxy S24,63,79999
20,P015,OnePlus Watch 2,78,19999
21,P001,iPhone 15,38,79999
21,P002,Samsung TV 55inch,22,54999
21,P003,Sony WH1000XM5,60,24999
21,P004,MacBook Air M2,13,114999
21,P005,Dyson V15 Vacuum,8,54999
21,P006,iPad Pro 12.9,26,109999
21,P007,Nikon Z50 Camera,8,74999
21,P008,Apple Watch S9,33,41999
21,P009,Dell XPS 15,12,149999
21,P010,Bose SoundLink,50,29999
21,P011,PlayStation 5,11,54999
21,P012,Xbox Series X,9,52999
21,P013,GoPro Hero 12,28,44999
21,P014,Samsung Galaxy S24,36,79999
21,P015,OnePlus Watch 2,45,19999
22,P001,iPhone 15,46,79999
22,P002,Samsung TV 55inch,28,54999
22,P003,Sony WH1000XM5,74,24999
22,P004,MacBook Air M2,16,114999
22,P005,Dyson V15 Vacuum,10,54999
22,P006,iPad Pro 12.9,30,109999
22,P007,Nikon Z50 Camera,10,74999
22,P008,Apple Watch S9,40,41999
22,P009,Dell XPS 15,14,149999
22,P010,Bose SoundLink,62,29999
22,P011,PlayStation 5,13,54999
22,P012,Xbox Series X,11,52999
22,P013,GoPro Hero 12,34,44999
22,P014,Samsung Galaxy S24,44,79999
22,P015,OnePlus Watch 2,55,19999
23,P001,iPhone 15,35,79999
23,P002,Samsung TV 55inch,21,54999
23,P003,Sony WH1000XM5,56,24999
23,P004,MacBook Air M2,12,114999
23,P005,Dyson V15 Vacuum,7,54999
23,P006,iPad Pro 12.9,24,109999
23,P007,Nikon Z50 Camera,7,74999
23,P008,Apple Watch S9,30,41999
23,P009,Dell XPS 15,11,149999
23,P010,Bose SoundLink,46,29999
23,P011,PlayStation 5,10,54999
23,P012,Xbox Series X,8,52999
23,P013,GoPro Hero 12,26,44999
23,P014,Samsung Galaxy S24,33,79999
23,P015,OnePlus Watch 2,42,19999
24,P001,iPhone 15,42,79999
24,P002,Samsung TV 55inch,25,54999
24,P003,Sony WH1000XM5,67,24999
24,P004,MacBook Air M2,14,114999
24,P005,Dyson V15 Vacuum,9,54999
24,P006,iPad Pro 12.9,28,109999
24,P007,Nikon Z50 Camera,9,74999
24,P008,Apple Watch S9,36,41999
24,P009,Dell XPS 15,13,149999
24,P010,Bose SoundLink,56,29999
24,P011,PlayStation 5,12,54999
24,P012,Xbox Series X,10,52999
24,P013,GoPro Hero 12,31,44999
24,P014,Samsung Galaxy S24,40,79999
24,P015,OnePlus Watch 2,50,19999
25,P001,iPhone 15,43,79999
25,P002,Samsung TV 55inch,26,54999
25,P003,Sony WH1000XM5,68,24999
25,P004,MacBook Air M2,15,114999
25,P005,Dyson V15 Vacuum,9,54999
25,P006,iPad Pro 12.9,29,109999
25,P007,Nikon Z50 Camera,9,74999
25,P008,Apple Watch S9,37,41999
25,P009,Dell XPS 15,13,149999
25,P010,Bose SoundLink,58,29999
25,P011,PlayStation 5,12,54999
25,P012,Xbox Series X,10,52999
25,P013,GoPro Hero 12,32,44999
25,P014,Samsung Galaxy S24,41,79999
25,P015,OnePlus Watch 2,52,19999
